scientific_name,common_name,trophic_level,iconic_taxon,taxon_order,family,observation_count,zone_count,decline_trend,keystone_score,habitat
Sceloporus occidentalis,Western Fence Lizard,apex_predator,Reptilia,Squamata,Phrynosomatidae,9496,42,0.0,0.0,terrestrial
Zalophus californianus,California Sea Lion,apex_predator,Mammalia,Carnivora,Otariidae,5775,14,0.0,0.0,terrestrial
Magnoliopsida,Dicots,producer,Plantae,,,4647,47,-25.8,0.0,terrestrial
Pelecanus occidentalis,Brown Pelican,tertiary_consumer,Aves,Pelecaniformes,Pelecanidae,4586,20,-43.3,0.0,terrestrial
Otospermophilus beecheyi,California Ground Squirrel,tertiary_consumer,Mammalia,Rodentia,Sciuridae,4578,43,0.0,0.002,terrestrial
Danaus plexippus,Monarch,pollinator,Insecta,Lepidoptera,Nymphalidae,3796,34,-61.2,0.0,terrestrial
Canis latrans,Coyote,apex_predator,Mammalia,Carnivora,Canidae,3628,43,0.0,0.0,terrestrial
Sylvilagus audubonii,Desert Cottontail,tertiary_consumer,Mammalia,Lagomorpha,Leporidae,3430,41,0.0,0.0,terrestrial
Pandion haliaetus,Osprey,apex_predator,Aves,Accipitriformes,Pandionidae,3317,28,-53.9,0.0,terrestrial
Nycticorax nycticorax,Black-crowned Night Heron,tertiary_consumer,Aves,Pelecaniformes,Ardeidae,3303,27,-45.6,0.0,terrestrial
Pachygrapsus crassipes,Striped Shore Crab,secondary_consumer,Animalia,Decapoda,Grapsidae,3156,15,0.0,0.0,unknown
Glebionis coronaria,Garland Daisy,producer,Plantae,Asterales,Asteraceae,3129,23,-19.3,0.0,terrestrial
Anthopleura sola,Sunburst Anemone,secondary_consumer,Animalia,Actiniaria,Actiniidae,3017,13,0.0,0.002,unknown
Nannopterum auritum,Double-crested Cormorant,tertiary_consumer,Aves,Suliformes,Phalacrocoracidae,2978,25,-29.5,0.0,terrestrial
Meleagris gallopavo,Wild Turkey,tertiary_consumer,Aves,Galliformes,Phasianidae,2878,33,-10.7,0.0,terrestrial
Fungi,Fungi Including Lichens,decomposer,Fungi,,,2521,44,0.0,0.0,terrestrial
Uta stansburiana elegans,Western Side-blotched Lizard,apex_predator,Reptilia,Squamata,Phrynosomatidae,2342,42,0.0,0.0,terrestrial
Patiria miniata,Bat Star,secondary_consumer,Animalia,Valvatida,Asterinidae,2335,11,0.0,0.0,unknown
Cylindropuntia ganderi ganderi,,producer,Plantae,Caryophyllales,Cactaceae,2266,14,-26.5,0.0,terrestrial
Oxalis pes-caprae,Bermuda buttercup,producer,Plantae,Oxalidales,Oxalidaceae,2197,21,18.8,0.0,terrestrial
Bahiopsis laciniata,Tornleaf Goldeneye,producer,Plantae,Asterales,Asteraceae,2126,24,-69.6,0.0,terrestrial
Foeniculum vulgare,fennel,producer,Plantae,Apiales,Apiaceae,1994,22,-54.5,0.0,terrestrial
Crotalus oreganus helleri,Southern Pacific Rattlesnake,apex_predator,Reptilia,Squamata,Viperidae,1936,42,0.0,0.0,terrestrial
Pseudacris regilla,Pacific chorus frog,secondary_consumer,Amphibia,Anura,Hylidae,1914,41,0.0,0.0,freshwater
Passer domesticus,House Sparrow,tertiary_consumer,Aves,Passeriformes,Passeridae,1859,34,-60.4,0.0,terrestrial
Odocoileus hemionus fuliginatus,Southern Mule Deer,tertiary_consumer,Mammalia,Artiodactyla,Cervidae,1810,29,0.0,0.0,terrestrial
Erodium cicutarium,Redstem Stork's-bill,producer,Plantae,Geraniales,Geraniaceae,1788,42,-47.5,0.0,terrestrial
Velella velella,By-the-wind Sailor,secondary_consumer,Animalia,Anthoathecata,Porpitidae,1784,12,0.0,0.0,unknown
Larus heermanni,Heermann's Gull,tertiary_consumer,Aves,Charadriiformes,Laridae,1716,14,-40.4,0.0,terrestrial
Hirschfeldia incana,Shortpod Mustard,producer,Plantae,Brassicales,Brassicaceae,1714,37,-55.4,0.0,terrestrial
Panulirus interruptus,California Spiny Lobster,secondary_consumer,Animalia,Decapoda,Palinuridae,1712,12,0.0,0.002,unknown
Lysimachia arvensis,scarlet pimpernel,producer,Plantae,Ericales,Primulaceae,1691,34,-64.4,0.0,terrestrial
Ceanothus verrucosus,Wart-stemmed Ceanothus,producer,Plantae,Rosales,Rhamnaceae,1683,15,-71.7,0.0,terrestrial
Tropaeolum majus,garden nasturtium,producer,Plantae,Brassicales,Tropaeolaceae,1651,17,47.0,0.0,terrestrial
Lonchura punctulata,Scaly-breasted Munia,tertiary_consumer,Aves,Passeriformes,Estrildidae,1614,22,-50.7,0.002,terrestrial
Ferocactus viridescens viridescens,Coast Barrel cactus,producer,Plantae,Caryophyllales,Cactaceae,1597,26,-77.3,0.0,terrestrial
Cenchrus setaceus,Fountain Grass,producer,Plantae,Poales,Poaceae,1566,29,-24.4,0.0,terrestrial
Encelia farinosa farinosa,,producer,Plantae,Asterales,Asteraceae,1526,21,-54.1,0.0,terrestrial
Nicotiana glauca,tree tobacco,producer,Plantae,Solanales,Solanaceae,1519,26,-60.5,0.0,terrestrial
Melilotus indicus,small melilot,producer,Plantae,Fabales,Fabaceae,1499,37,-33.9,0.0,terrestrial
Phoca vitulina richardii,Pacific Harbor Seal,apex_predator,Mammalia,Carnivora,Phocidae,1473,10,0.0,0.0,terrestrial
